4715,546,RESET
4725,63,RESET
4757,497,RESET
4773,497,RESET
4775,444,RESET
4780,91,RESET
4850,606,RESET
4858,606,RESET
4904,607,RESET
5055,328,RESET
5066,543,IGNORED
5091,590,RESET
5117,477,RESET
5122,65,RESET
5255,628,RESET
5257,606,RESET
5267,96,RESET
5272,628,RESET
5292,270,RESET
5349,170,RESET
5386,489,RESET
5471,282,RESET
5529,547,RESET
5537,167,RESET
5609,395,RESET
5645,503,RESET
5656,595,RESET
5657,627,RESET
5701,271,RESET
5718,487,RESET
5765,646,RESET
5855,523,RESET
5877,399,RESET
5952,657,RESET
5954,313,RESET
5957,295,RESET
5996,377,RESET
6015,654,RESET
6035,149,RESET
6039,660,RESET
6046,424,RESET
6050,207,RESET
6298,564,IGNORED
6346,698,IGNORED
6521,65,RESET
6530,292,RESET
6531,88,RESET
6536,446,IGNORED
6593,799,IGNORED
6596,799,IGNORED
6597,799,RESET
6608,389,RESET
6628,802,RESET
6641,338,RESET
6649,636,RESET
6663,70,RESET
6670,108,RESET
6675,449,RESET
6678,401,IGNORED
6691,499,RESET
6713,313,RESET
6714,628,RESET
6725,183,RESET
6727,27,RESET
6785,514,RESET
6786,352,RESET
6790,388,RESET
6804,429,RESET
6852,87,RESET
6858,348,RESET
6869,860,RESET
6881,862,RESET
6885,862,RESET
6905,862,RESET
6909,359,RESET
6932,180,RESET
6940,482,RESET
7081,916,IGNORED
7142,120,RESET
7222,361,RESET
7265,182,RESET
7268,1039,RESET
7358,389,RESET
7360,580,RESET
7386,505,RESET
7402,306,RESET
7556,120,RESET
7593,298,RESET
7634,50,RESET
7640,515,RESET
7679,51,RESET
7680,50,RESET
7711,556,RESET
7771,298,RESET
7874,55,RESET
8001,641,RESET
8069,214,RESET
8075,162,IGNORED
8136,117,RESET
8145,607,RESET
8217,451,RESET
8341,630,RESET
8343,117,RESET
8355,641,IGNORED
8361,371,RESET
8568,1367,RESET
8590,15,RESET
8629,1631,RESET
8658,421,RESET
8677,1367,RESET
8724,329,RESET
8769,92,RESET
8792,523,RESET
8831,1650,RESET
8833,305,RESET
8860,717,RESET
8862,520,RESET
8875,109,RESET
8877,585,RESET
8913,585,RESET
8972,469,RESET
9164,140,RESET
9183,409,RESET
9209,450,RESET
9231,1824,IGNORED
9242,104,RESET
9252,203,RESET
9270,595,RESET
9521,1367,RESET
9544,467,RESET
9689,419,RESET
9798,495,RESET
9849,209,RESET
9943,193,RESET
9976,233,RESET
10064,288,RESET
10065,1675,RESET
10093,1747,IGNORED
10108,1335,RESET
10138,2072,IGNORED
10181,2049,RESET
10227,205,RESET
10234,862,RESET
10263,200,RESET
10383,2159,RESET
10592,698,IGNORED
10608,1816,RESET
10665,2141,RESET
10695,2141,RESET
